date,XAU,AUD,ATS,BEF,CZK,DKK,EEK,FIM,FRF,GRD,ESP,NLG,IEP,JPY,CAD,LUF,NOK,PTE,EUR,USD,CHF,SEK,HUF,GBP,ITL,XDR,CYP,HKD,LTL,LVL,MTL,ZAR,RUB,SKK,SIT,UAH,BGN,RON,THB,NZD,SGD,ISK,HRK,TRY,PHP,MXN,BRL,MYR,IDR,KRW,CNY,ILS,INR,CLP
2002-01-02,,2.0227,0.258,0.087992,0.1125,0.4772,0.2269,0.597,0.5411,0.010417,0.021334,1.6107,4.5071,0.029991,2.4728,0.087992,0.4431,0.017705,3.5496,3.948,2.3915,0.3841,0.014511,5.7275,0.001833,5.0573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-03,,2.0415,0.2594,0.088496,0.1125,0.48,0.2281,0.6004,0.5442,0.010477,0.021456,1.6199,4.5328,0.030021,2.48,0.088496,0.445,0.017807,3.5699,3.9574,2.4034,0.3857,0.014568,5.7091,0.001844,4.9883,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-04,,2.0379,0.2569,0.08762,0.1106,0.4752,0.226,0.5945,0.5388,0.010373,0.021243,1.6039,4.488,0.030073,2.4668,0.08762,0.4419,0.017631,3.5346,3.9383,2.3895,0.3822,0.014436,5.6681,0.001825,4.9429,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-07,,2.0317,0.2546,0.086842,0.109,0.4708,0.2238,0.5892,0.5341,0.010281,0.021055,1.5897,4.4481,0.029904,2.451,0.086842,0.4389,0.017474,3.5032,3.9079,2.3726,0.38,0.014384,5.6362,0.001809,4.9318,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-08,,2.0478,0.2545,0.0868,0.1086,0.4707,0.2237,0.5889,0.5338,0.010276,0.021044,1.5889,4.446,0.0297,2.4568,0.0868,0.44,0.017465,3.5015,3.9322,2.3813,0.3789,0.014301,5.6709,0.001808,4.9398,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-09,,2.0801,0.2574,0.087796,0.1096,0.4761,0.2263,0.5957,0.5399,0.010394,0.021286,1.6072,4.497,0.029918,2.4874,0.087796,0.4449,0.017666,3.5417,3.9667,2.3951,0.3813,0.014506,5.712,0.001829,4.9928,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-10,,2.087,0.2571,0.087695,0.1101,0.4759,0.2262,0.595,0.5393,0.010382,0.021261,1.6053,4.4918,0.029895,2.4795,0.087695,0.4446,0.017645,3.5376,3.9637,2.3863,0.3836,0.014516,5.7155,0.001827,4.9876,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-11,,2.1164,0.2627,0.089618,0.1122,0.4864,0.2311,0.608,0.5511,0.01061,0.021728,1.6405,4.5904,0.03068,2.5355,0.089618,0.4551,0.018033,3.6152,4.0547,2.4447,0.3948,0.014744,5.8461,0.001867,5.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-14,,2.0761,0.2604,0.08884,0.1109,0.4822,0.229,0.6028,0.5463,0.010517,0.021539,1.6263,4.5505,0.030473,2.5127,0.08884,0.451,0.017876,3.5838,4.0116,2.4241,0.3889,0.014694,5.8136,0.001851,5.0548,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-15,,2.0962,0.2615,0.089197,0.1112,0.4841,0.2299,0.6052,0.5485,0.01056,0.021626,1.6328,4.5688,0.030763,2.5347,0.089197,0.4527,0.017948,3.5982,4.0351,2.4321,0.3892,0.014744,5.837,0.001858,5.0766,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-16,,2.1018,0.2616,0.089237,0.112,0.4844,0.2301,0.6054,0.5488,0.010564,0.021635,1.6335,4.5708,0.031085,2.5703,0.089237,0.4548,0.017956,3.5998,4.0851,2.448,0.3916,0.014771,5.8662,0.001859,5.0817,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-17,,2.1188,0.2639,0.090005,0.1124,0.4887,0.2321,0.6107,0.5535,0.010655,0.021822,1.6476,4.6102,0.031209,2.5628,0.090005,0.4602,0.01811,3.6308,4.1256,2.4769,0.3929,0.014923,5.9052,0.001875,5.1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-18,,2.1596,0.268,0.091423,0.1161,0.4964,0.2357,0.6203,0.5622,0.010823,0.022165,1.6735,4.6828,0.031536,2.5937,0.091423,0.4662,0.018396,3.688,4.188,2.5095,0.3982,0.015133,6.007,0.001905,5.2381,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-21,,2.1404,0.2662,0.090798,0.1153,0.4929,0.2342,0.616,0.5584,0.010749,0.022014,1.6621,4.6508,0.031241,2.5626,0.090798,0.4629,0.01827,3.6628,4.1417,2.4916,0.3975,0.015048,5.9456,0.001892,5.2042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-22,,2.1444,0.2647,0.090283,0.1131,0.4902,0.2328,0.6125,0.5552,0.010688,0.021889,1.6527,4.6244,0.030708,2.5614,0.090283,0.4609,0.018166,3.642,4.12,2.4781,0.3942,0.014966,5.8889,0.001881,5.1747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-23,,2.1405,0.2648,0.090322,0.1138,0.4904,0.2329,0.6128,0.5555,0.010693,0.021898,1.6534,4.6264,0.030625,2.5553,0.090322,0.4597,0.018174,3.6436,4.11,2.4727,0.3921,0.014976,5.8754,0.001882,5.1593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-24,,2.1355,0.2635,0.089884,0.1131,0.488,0.2317,0.6098,0.5528,0.010641,0.021792,1.6454,4.6039,0.030783,2.5779,0.089884,0.4597,0.018086,3.6259,4.1291,2.4712,0.3928,0.014897,5.8724,0.001873,5.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-25,,2.1608,0.2645,0.090218,0.114,0.4899,0.2326,0.6121,0.5548,0.010681,0.021873,1.6515,4.6211,0.030935,2.5963,0.090218,0.4627,0.018153,3.6394,4.1627,2.4797,0.3943,0.014891,5.9172,0.00188,5.1739,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-28,,2.1446,0.261,0.089026,0.1127,0.4834,0.2295,0.604,0.5475,0.010539,0.021584,,4.56,0.031065,2.5758,0.089026,0.4579,0.017913,3.5913,4.1522,2.4376,0.3889,0.014705,5.8443,0.001855,5.1448,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-29,,2.1084,0.2571,0.087692,0.111,0.4762,0.2261,0.595,0.5393,0.010382,0.021261,,4.4917,0.03087,2.5804,0.087692,0.4511,0.017645,3.5375,4.1067,2.4023,0.3834,0.014558,5.7798,0.001827,5.1078,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-30,,2.0966,0.2603,0.088803,0.1121,0.4823,0.2289,0.6025,0.5461,0.010513,0.02153,,4.5486,0.031231,2.6023,0.088803,0.4564,0.017868,3.5823,4.1387,2.4362,0.3872,0.014701,5.8621,0.00185,5.1524,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-01-31,,2.1165,0.2611,0.089066,0.1125,0.4837,0.2296,0.6043,0.5477,0.010544,0.021594,,4.562,0.031331,2.6262,0.089066,0.4588,0.017921,3.5929,4.1637,2.437,0.3919,0.014756,5.8756,0.001856,5.1717,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-01,,2.1228,0.2611,0.089066,0.1129,0.4837,0.2297,0.6043,0.5477,0.010544,0.021594,,4.562,0.031198,2.6271,0.089066,0.4585,0.017921,3.5929,4.175,2.4331,0.3923,0.014823,5.8924,0.001856,5.1668,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-04,,2.1527,0.2641,0.090075,0.1142,0.4892,0.2322,0.6111,0.5539,0.010664,0.021838,,4.6137,0.03162,2.6489,0.090075,0.4636,0.018124,3.6336,4.2144,2.4571,0.3945,0.014901,5.9768,0.001877,5.2165,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-05,,2.141,0.2647,0.090288,0.1143,0.4903,0.2328,0.6126,0.5552,0.010689,0.02189,,4.6246,0.031577,2.6243,0.090288,0.463,0.018167,3.6422,4.1885,2.4686,0.3941,0.014915,5.9567,0.001881,5.2321,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-06,,2.1351,0.2649,0.09036,0.1143,0.4907,0.233,0.6131,0.5557,0.010697,0.021907,,4.6283,0.031453,2.6262,0.09036,0.4649,0.018182,3.6451,4.2062,2.4751,0.3951,0.014942,5.9478,0.001883,5.2283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-07,,2.1646,0.2687,0.091656,0.116,0.4978,0.2363,0.6219,0.5637,0.010851,0.022222,,4.6947,0.031914,2.653,0.091656,0.4732,0.018443,3.6974,4.2628,2.5114,0.4008,0.015074,6.0106,0.00191,5.3052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-08,,2.162,0.2679,0.091393,0.116,0.4963,0.2356,0.6201,0.562,0.01082,0.022158,,4.6813,0.031541,2.6386,0.091393,0.4708,0.01839,3.6868,4.2247,2.5056,0.3986,0.01511,5.9652,0.001904,5.2842,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-11,,2.1477,0.2657,0.09064,0.1151,0.4922,0.2336,0.615,0.5574,0.01073,0.021975,,,0.031089,2.6247,0.09064,0.4669,0.018238,3.6564,4.1863,2.476,0.396,0.015025,5.9391,0.001888,5.2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-12,,2.1338,0.2664,0.09087,0.1156,0.4933,0.2343,0.6165,0.5588,0.010758,0.022031,,,0.031228,2.6231,0.09087,0.4675,0.018284,3.6657,4.1723,2.4793,0.3961,0.015026,5.9508,0.001893,5.1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-13,,2.1124,0.2648,0.09033,0.115,0.4904,0.2329,0.6129,0.5555,0.010694,0.0219,,,0.031312,2.6143,0.09033,0.4654,0.018176,3.6439,4.1593,2.4647,0.3938,0.014988,5.9712,0.001882,5.1911,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-14,,2.1585,0.2661,0.090761,0.1155,0.4927,0.234,0.6158,0.5582,0.010745,0.022005,,,0.031695,2.6427,0.090761,0.4699,0.018262,3.6613,4.2018,2.469,0.3977,0.015055,5.9967,0.001891,5.2394,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-15,,2.1652,0.2648,0.090313,0.1151,0.4904,0.2329,0.6127,0.5554,0.010692,0.021896,,,0.031495,2.6245,0.090313,0.4691,0.018172,3.6432,4.1793,2.4561,0.3967,0.01514,5.9749,0.001882,5.2209,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-18,,2.1506,0.2633,0.089797,0.1136,0.4876,0.2315,0.6092,,0.010631,0.021771,,,0.031287,2.6078,0.089797,0.4677,0.018068,3.6224,4.15,2.444,0.3948,0.015015,5.9476,0.001871,5.1851,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-19,,2.14,0.2615,0.089214,0.1129,0.4844,0.23,0.6053,,0.010562,0.02163,,,0.031016,2.6053,0.089214,0.4647,0.017951,3.5989,4.1476,2.4335,0.3917,0.014856,5.9032,0.001859,5.1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-20,,2.1484,0.2648,0.09031,0.114,0.4903,0.2328,0.6127,,0.010691,0.021895,,,0.031138,2.6158,0.09031,0.4688,0.018172,3.6431,4.1612,2.4631,0.3955,0.014931,5.9494,0.001882,5.2138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-21,,2.1538,0.2641,0.090085,0.1141,0.4891,0.2322,0.6112,,0.010665,0.021841,,,0.031252,2.6249,0.090085,0.4693,0.018126,3.634,4.1739,2.4551,0.3978,0.014933,5.9457,0.001877,5.1859,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-22,,2.1456,0.2637,0.089963,0.1144,0.4883,0.232,0.6104,,0.01065,0.021811,,,0.031046,2.6193,0.089963,0.4687,0.018102,3.6291,4.1742,2.4528,0.3963,0.014906,5.9552,0.001874,5.1941,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-25,,2.1342,0.2648,0.090337,0.115,0.4903,0.2329,0.6129,,0.010695,0.021902,,,0.031111,2.6087,0.090337,0.4696,0.018177,3.6442,4.168,2.4674,0.3991,0.014939,5.9599,0.001882,5.1862,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-26,,2.1542,0.265,0.090409,0.1146,0.4907,0.233,0.6134,,0.010703,0.02192,,,0.031315,2.6106,0.090409,0.4715,0.018192,3.6471,4.189,2.4698,0.4023,0.01495,5.9749,0.001884,5.2113,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-27,,2.1556,0.2635,0.089889,0.1142,0.4879,0.2317,0.6099,,0.010642,0.021793,,,0.031105,2.6084,0.089889,0.4695,0.018087,3.6261,4.1946,2.4568,0.3991,0.014779,5.941,0.001873,5.1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-02-28,,2.1708,0.2646,0.090258,0.115,0.4899,0.2327,0.6124,,0.010685,0.021883,,,0.031437,2.6167,0.090258,0.4721,0.018161,3.641,4.2046,2.466,0.4011,0.014807,5.9635,0.00188,5.2236,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-01,,2.1914,,,0.1162,0.4944,0.2348,,,,,,,0.031709,2.6446,,0.4762,,3.674,4.2331,2.4907,0.4049,0.014938,6.0116,,5.2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-04,,2.1801,,,0.1148,0.4873,0.2315,,,,,,,0.031692,2.6345,,0.4707,,3.621,4.1898,2.4494,0.3994,0.014776,5.9443,,5.1895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-05,,2.1665,,,0.1147,0.4874,0.2315,,,,,,,0.031487,2.6182,,0.4709,,3.6215,4.1642,2.4532,0.4007,0.014806,5.9291,,5.2054,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-06,,2.1532,,,0.1144,0.4863,0.2309,,,,,,,0.03148,2.6128,,0.4701,,3.6134,4.1473,2.4458,0.4002,0.014818,5.8956,,5.1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-07,,2.1654,,,0.1152,0.4891,0.2324,,,,,,,0.032086,2.6163,,0.4703,,3.6357,4.1376,2.4674,0.4014,0.014874,5.905,,5.2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-08,,2.175,,,0.1157,0.4919,0.2337,,,,,,,0.032564,2.6266,,0.473,,3.6564,4.1617,2.4858,0.4033,0.01483,5.9271,,5.2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-11,,2.1589,,,0.1146,0.4877,0.2317,,,,,,,0.032122,2.6118,,0.4696,,3.6248,4.1464,2.4638,0.4001,0.014804,5.8849,,5.1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-12,,2.1576,,,0.1147,0.487,0.2313,,,,,,,0.032221,2.6188,,0.4689,,3.6191,4.1446,2.4613,0.3986,0.014772,5.8623,,5.1841,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-13,,2.167,,,0.1153,0.49,0.2328,,,,,,,0.032116,2.6247,,0.47,,3.6407,4.163,2.4781,0.3983,0.014841,5.8768,,5.2164,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-14,,2.1587,,,0.1156,0.4915,0.2334,,,,,,,0.03219,2.5982,,0.4701,,3.6532,4.1462,2.4919,0.3996,0.014862,5.8771,,5.2324,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-15,,2.1587,,,0.1153,0.4891,0.2323,,,,,,,0.031867,2.5882,,0.4681,,3.6352,4.1156,2.4838,0.3982,0.014782,5.8472,,5.1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-18,,2.1514,,,0.1151,0.4869,0.2313,,,,,,,0.0314,2.5912,,0.4666,,3.6187,4.1106,2.4737,0.3982,0.014763,5.8531,,5.1346,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-19,,2.1496,,,0.1153,0.4874,0.2315,,,,,,,0.031187,2.5903,,0.4683,,3.6225,4.1067,2.468,0.4,0.014763,5.8574,,5.1566,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-20,,2.1767,,,0.1154,0.4869,0.2313,,,,,,,0.031249,2.6026,,0.4687,,3.619,4.1159,2.4721,0.4006,0.014771,5.8494,,5.1397,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-21,,2.1777,,,0.1163,0.488,0.2319,,,,,,,0.031185,2.5991,,0.471,,3.6285,4.1036,2.4776,0.4031,0.014856,5.8718,,5.1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-22,,2.1815,,,0.1163,0.4865,0.2312,,,,,,,0.030965,2.6046,,0.4693,,3.6163,4.1085,2.4743,0.4011,0.014818,5.8649,,5.1432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-25,,2.1953,,,0.1165,0.4872,0.2315,,,,,,,0.031012,2.61,,0.4704,,3.6223,4.1269,2.4784,0.4014,0.014839,5.8856,,5.1511,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-26,,2.1872,,,0.1164,0.4872,0.2315,,,,,,,0.031119,2.5988,,0.4696,,3.6215,4.1343,2.481,0.4019,0.014815,5.8915,,5.1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-27,,2.1761,,,0.1158,0.4853,0.2306,,,,,,,0.031067,2.5937,,0.4675,,3.6077,4.1159,2.4605,0.4,0.014784,5.8695,,5.1487,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-28,,2.1918,,,0.1152,0.4829,0.2294,,,,,,,0.031006,2.5836,,0.4658,,3.5897,4.1173,2.4486,0.3979,0.014739,5.8598,,5.1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-03-29,,2.2054,,,0.1165,0.4848,0.2304,,,,,,,0.031119,2.594,,0.4675,,3.6036,4.1321,2.4587,0.3988,0.014802,5.8897,,5.1502,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-02,,2.1897,,,0.1176,0.4858,0.2307,,,,,,,0.030774,2.5722,,0.4694,,3.6106,4.1113,2.4685,0.3998,0.014812,5.9122,,5.1602,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-03,,2.1712,,,0.1177,0.4837,0.2298,,,,,,,0.030792,2.5687,,0.4689,,3.595,4.0897,2.4595,0.3971,0.014803,5.8804,,5.1137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-04,,2.1735,,,0.1181,0.4844,0.2301,,,,,,,0.030906,2.5695,,0.4713,,3.6006,4.0858,2.4626,0.3967,0.014869,5.8675,,5.1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-05,,2.1775,,,0.1173,0.4844,0.2301,,,,,,,0.031022,2.5694,,0.471,,3.6009,4.0969,2.4561,0.3989,0.014788,5.8747,,5.1152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-08,,2.1562,,,0.1165,0.4821,0.229,,,,,,,0.031103,2.5696,,0.469,,3.5839,4.0861,2.4476,0.3968,0.014715,5.8508,,5.1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-09,,2.1637,,,0.1174,0.4827,0.2294,,,,,,,0.031127,2.5673,,0.4696,,3.5886,4.0983,2.4477,0.3952,0.014756,5.868,,5.1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-10,,2.1686,,,0.1187,0.4842,0.2301,,,,,,,0.031287,2.5637,,0.4703,,3.6003,4.0865,2.4546,0.3955,0.014844,5.8713,,5.1396,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-11,,2.1862,,,0.1193,0.484,0.23,,,,,,,0.03104,2.5699,,0.4721,,3.5991,4.088,2.4497,0.3963,0.014869,5.8689,,5.1379,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-12,,2.1736,,,0.1188,0.4808,0.2285,,,,,,,0.030741,2.5594,,0.4686,,3.5756,4.0607,2.4394,0.3924,0.014789,5.8344,,5.0915,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-15,,2.1673,,,0.1193,0.4812,0.2287,,,,,,,0.030843,2.5624,,0.4696,,3.5786,4.06,2.4399,0.3933,0.014798,5.8345,,5.091,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-16,,2.1568,,,0.1185,0.481,0.2285,,,,,,,0.030882,2.559,,0.4683,,3.5754,4.062,2.4331,0.3914,0.0148,5.8355,,5.0908,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-17,,2.1723,,,0.1188,0.4839,0.2299,,,,,,,0.030989,2.566,,0.4714,,3.5977,4.0543,2.4464,0.3933,0.014839,5.8547,,5.1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-18,,2.1723,,,0.1186,0.4835,0.2298,,,,,,,0.030945,2.5656,,0.4706,,3.595,4.0389,2.4469,0.3927,0.014833,5.8436,,5.0929,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-19,,2.1781,,,0.1191,0.483,0.2296,,,,,,,0.030931,2.5602,,0.4703,,3.5913,4.0326,2.4461,0.3911,0.014833,5.8371,,5.0807,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-22,,2.1854,,,0.1191,0.4835,0.2298,,,,,,,0.031061,2.5683,,0.4725,,3.5945,4.0412,2.4487,0.3904,0.01488,5.848,,5.0972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-23,,2.1749,,,0.1188,0.482,0.2288,,,,,,,0.031074,2.5656,,0.4716,,3.582,4.0381,2.4391,0.3898,0.014897,5.8506,,5.0771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-24,,2.1833,,,0.1189,0.4839,0.2298,,,,,,,0.031114,2.57,,0.4723,,3.5966,4.044,2.4523,0.3924,0.014947,5.8515,,5.1023,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-25,,2.1938,,,0.1191,0.4859,0.2308,,,,,,,0.031301,2.5754,,0.4741,,3.612,4.0352,2.4645,0.3916,0.014919,5.857,,5.1187,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-26,,2.1927,,,0.1189,0.4859,0.2308,,,,,,,0.031303,2.5729,,0.4758,,3.6122,4.0284,2.4654,0.3914,0.014819,5.8507,,5.0976,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-29,,2.1569,,,0.1185,0.4838,0.23,,,,,,,0.031148,2.5501,,0.475,,3.5971,3.9827,2.4575,0.3889,0.014806,5.8229,,5.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-04-30,,2.1425,,,0.1175,0.4831,0.2295,,,,,,,0.031044,2.5349,,0.4734,,3.591,3.9802,2.453,0.388,0.014744,5.7999,,5.0462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-02,,2.1361,,,0.1176,0.4844,0.2301,,,,,,,0.031252,2.5445,,0.4755,,3.5998,3.9776,2.476,0.3876,0.01481,5.8268,,5.0586,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-06,,2.1445,,,0.1189,0.4898,0.2327,,,,,,,0.031264,2.5454,,0.4803,,3.641,3.9801,2.4995,0.3922,0.014923,5.841,,5.0983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-07,,2.1472,,,0.1186,0.4881,0.2319,,,,,,,0.031083,2.5255,,0.4774,,3.6282,3.9625,2.4932,0.3868,0.014854,5.8168,,5.0667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-08,,2.1632,,,0.1193,0.4878,0.2317,,,,,,,0.03104,2.546,,0.477,,3.6263,3.9849,2.4914,0.3886,0.014884,5.8263,,5.0661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-09,,2.1708,,,0.1193,0.4891,0.2323,,,,,,,0.031163,2.5543,,0.4802,,3.6363,4.0155,2.4992,0.391,0.014921,5.8485,,5.0874,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-10,,2.1751,,,0.1195,0.4914,0.2335,,,,,,,0.031225,2.5564,,0.4827,,3.6538,3.9998,2.5115,0.3913,0.014968,5.855,,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-13,,2.1965,,,0.12,0.4941,0.2348,,,,,,,0.031502,2.5788,,0.4867,,3.6746,4.0147,2.5263,0.393,0.015041,5.8756,,5.1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-14,,2.2421,,,0.1219,0.5006,0.2379,,,,,,,0.031976,2.6297,,0.4932,,3.7222,4.1066,2.5581,0.4006,0.01523,5.9608,,5.2075,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-15,,2.2177,,,0.1202,0.4933,0.2344,,,,,,,0.031701,2.6056,,0.4868,,3.668,4.0637,2.5206,0.3985,0.015034,5.8843,,5.1391,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-16,,2.2517,,,0.1232,0.503,0.239,,,,,,,0.03216,2.6362,,0.4964,,3.7404,4.1042,2.5674,0.4053,0.015281,5.9765,,5.2513,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-17,,2.269,,,0.1237,0.5062,0.2406,,,,,,,0.032366,2.654,,0.4992,,3.765,4.1209,2.5855,0.4096,0.015385,5.9976,,5.251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-20,,2.2614,,,0.1235,0.5078,0.2415,,,,,,,0.032648,2.6599,,0.4998,,3.7766,4.0978,2.5993,0.4095,0.015346,5.9913,,5.2648,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-21,,2.2633,,,0.1226,0.5052,0.2401,,,,,,,0.032496,2.6476,,0.4986,,3.7577,4.083,2.5873,0.4092,0.015306,5.9561,,5.2268,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-22,,2.2878,,,0.1224,0.5087,0.2418,,,,,,,0.032822,2.6679,,0.5026,,3.7845,4.0953,2.6062,0.4132,0.015615,5.9815,,5.2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-23,,2.2779,,,0.1238,0.5095,0.2423,,,,,,,0.033004,2.6687,,0.5062,,3.7904,4.0924,2.6071,0.4152,0.015627,5.9762,,5.2573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-24,,2.2652,,,0.123,0.5052,0.2401,,,,,,,0.03272,2.6604,,0.5042,,3.7571,4.0958,2.578,0.4129,0.015502,5.949,,5.2291,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-27,,2.2699,,,0.1226,0.5045,0.2397,,,,,,,0.032619,2.655,,0.5044,,3.7514,4.0732,2.5724,0.4104,0.015461,5.9297,,5.2238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-28,,2.2747,,,0.123,0.505,0.2401,,,,,,,0.032545,2.6434,,0.5077,,3.7555,4.0545,2.5717,0.4114,0.015459,5.9174,,5.2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-29,,2.284,,,0.1232,0.5063,0.2407,,,,,,,0.03258,2.6467,,0.5087,,3.765,4.0535,2.5722,0.4112,0.015467,5.9166,,5.2224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-05-31,,2.29,,,0.1241,0.5084,0.2415,,,,,,,0.032558,2.6258,,0.5068,,3.7782,4.0311,2.581,0.4145,0.015532,5.9099,,5.1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
